"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
      115, -0.30498E-04,     2,     63,     65,  0.10000E-03,   534.7350    ,   534.7350    
      116, -0.72884E-02,     1,     23,    314,  0.50000    ,   104.6975    ,   104.6903    
      117, -0.84026E-04,     1,     23,    314,  0.10000E-01,   104.6903    ,   104.6902    
      118, -0.93219E-02,     1,     23,    314,   1.0000    ,   104.6902    ,   104.6808    
"Maximum head changes for Stress Period     2, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,   10.000    ,     1,     32,    226,  0.14430    ,   344.1032    ,   354.1032    
        2,   10.000    ,     1,     32,    226,  0.16872    ,   354.1032    ,   364.1032    
        3,   5.6880    ,     1,     32,    226,  0.11545    ,   364.1032    ,   369.7912    
        4,   10.000    ,     1,     32,    226,  0.22948    ,   369.7912    ,   379.7912    
        5,   10.000    ,     1,     32,    226,  0.29784    ,   379.7912    ,   389.7912    
        6,   9.9468    ,     1,     32,    226,  0.42196    ,   389.7912    ,   399.7380    
        7,   3.6865    ,     1,     32,    226,  0.27060    ,   399.7380    ,   403.4245    
        8,  0.99371E-01,     1,     32,    226,  0.10000E-01,   403.4245    ,   403.5239    
        9,  0.98371E-01,     1,     32,    226,  0.10000E-01,   403.5239    ,   403.6223    
       10,   4.8691    ,     1,     32,    226,  0.50000    ,   403.6223    ,   408.4913    
       11,  0.48960E-01,     1,     32,    226,  0.10000E-01,   408.4913    ,   408.5403    
       12,   2.4093    ,     1,     32,    226,  0.50000    ,   408.5403    ,   410.9496    
       13,  0.24181E-01,     1,     32,    226,  0.10000E-01,   410.9496    ,   410.9738    
       14,   1.1922    ,     1,     32,    226,  0.50000    ,   410.9738    ,   412.1660    
       15,  0.11957E-01,     1,     32,    226,  0.10000E-01,   412.1660    ,   412.1780    
       16,  0.58996    ,     1,     32,    226,  0.50000    ,   412.1780    ,   412.7680    
       17,  0.58999E-02,     1,     32,    226,  0.10000E-01,   412.7680    ,   412.7739    
       18,  0.29195    ,     1,     32,    226,  0.50000    ,   412.7739    ,   413.0658    
       19,  0.29136E-02,     1,     32,    226,  0.10000E-01,   413.0658    ,   413.0687    
       20,  0.14448    ,     1,     32,    226,  0.50000    ,   413.0687    ,   413.2132    
       21,  0.14589E-02,     1,     32,    226,  0.10000E-01,   413.2132    ,   413.2147    
       22,  0.71486E-01,     1,     32,    226,  0.50000    ,   413.2147    ,   413.2861    
       23,  0.85465E-04,     1,     32,    226,  0.10000E-02,   413.2861    ,   413.2862    
       24,  0.35694E-01,     1,     32,    226,  0.50000    ,   413.2862    ,   413.3219    
